Date,Sample covariance,Ledoit-Wolf,Wasserstein DRO,Equal weight
2024-01-03,0.9640926437424232,0.9640926437925633,0.9640926436848064,0.9886503100006693
2024-01-04,0.9522867644011356,0.9522867644823423,0.952286764309806,0.985415231225094
2024-01-05,0.947089103375003,0.947089103475141,0.9470891032629694,0.9847749446730591
2024-01-08,0.9649641999655826,0.964964200044129,0.9649641998653751,0.9955228657843888
2024-01-09,0.9631126922958809,0.9631126923649264,0.9631126922042735,0.9951142843530577
2024-01-10,0.9692868836291724,0.9692868836774096,0.9692868835525411,0.9977327854351153
2024-01-11,0.9544163887192696,0.9544163887656182,0.9544163886366883,0.9898248654597569
2024-01-12,0.9328857390597908,0.9328857391305703,0.9328857389484568,0.9845223169754959
2024-01-15,0.9328857390573589,0.9328857391273034,0.93288573894689,0.9839511765295365
2024-01-16,0.9337668352197936,0.9337668352811941,0.9337668351134365,0.9793242623861889
2024-01-17,0.919063483606812,0.9190634836699686,0.919063483493536,0.9710761867180856
2024-01-18,0.9225701294044707,0.9225701294465628,0.9225701293076046,0.9745497782699647
2024-01-19,0.9261115976346291,0.9261115976523084,0.9261115975460654,0.9780178509272514
2024-01-22,0.930200822949172,0.930200822964642,0.9302008228698809,0.9827376819110788
2024-01-23,0.9432102100561562,0.9432102100579621,0.9432102099938584,0.9891211531737838
2024-01-24,0.9376207351867344,0.937620735184251,0.9376207351196683,0.9868410480573211
2024-01-25,0.8987089591444093,0.8987089591894862,0.8987089590378581,0.9776053932570852
2024-01-26,0.8910801264580398,0.8910801265403977,0.8910801263201955,0.9767323158420631
2024-01-29,0.9156355243780017,0.9156355244451431,0.9156355242591779,0.9864621747543891
2024-01-30,0.9119295590796758,0.911929559155089,0.9119295589491715,0.9854386559041446
2024-01-31,0.895556859793932,0.8955568598807621,0.8955568596509161,0.979338045064739
2024-02-01,0.9087028719605728,0.9087028720303965,0.90870287182925,0.989649883603377
2024-02-02,0.9050456083821741,0.9050456084476318,0.9050456082453779,0.9855109126760466
2024-02-05,0.8846281987522577,0.8846281988617786,0.884628198575031,0.9735395784879294
2024-02-06,0.8945023378086899,0.8945023379276967,0.8945023376298894,0.9823348742763526
2024-02-07,0.9496953613211929,0.9496953613561593,0.9496953612441664,1.0033822014895655
2024-02-08,0.9534968571722434,0.9534968571757284,0.9534968571182577,1.0000035929163238
2024-02-09,0.9774183529047802,0.9774183528809975,0.9774183528845278,1.004891949194433
2024-02-12,0.9848237278535424,0.9848237278123283,0.9848237278606774,1.0086272782750967
2024-02-13,0.9640634287838828,0.9640634287518695,0.9640634287757847,0.9952145690881189
2024-02-14,0.9952591342770111,0.9952591342026795,0.9952591343192909,1.0050876009642589
2024-02-15,1.0245765635062252,1.0245765634190904,1.0245765635688775,1.0195225941974213
2024-02-16,1.0136380016260964,1.0136380015514626,1.0136380016689828,1.0150368971233557
2024-02-19,1.0136380016195898,1.0136380015427218,1.0136380016647906,1.013586900882255
2024-02-20,0.9870032215326668,0.9870032215026416,0.9870032215339304,1.004705812654267
2024-02-21,0.9815173145085951,0.9815173145045757,0.9815173144867304,1.007920686909898
2024-02-22,1.0087552637337591,1.0087552636891741,1.0087552637276684,1.02347390065032
2024-02-23,0.9895739328132672,0.989573932785511,0.9895739327810664,1.0192428589519933
2024-02-26,1.0053451134065514,1.0053451133552058,1.0053451133982905,1.0195938970964455
2024-02-27,1.0056167402754594,1.0056167402347629,1.0056167402634986,1.017935341001241
2024-02-28,1.0028679684403785,1.0028679684054385,1.0028679684205828,1.0175207795822878
2024-02-29,1.0249468300800433,1.0249468300106355,1.0249468301060898,1.0215556736006832
2024-03-01,1.0385063090786788,1.0385063089868123,1.0385063091258373,1.0265368165770776
2024-03-04,1.0092662173634241,1.00926621728662,1.0092662173853217,1.0137821691986038
2024-03-05,1.002858180820736,1.0028581807282755,1.0028581808576646,1.0104855110075326
2024-03-06,1.0024218989277056,1.0024218988291944,1.0024218989676834,1.014591519910842
2024-03-07,1.0228835609838984,1.0228835608599338,1.0228835610500575,1.0201798330080807
2024-03-08,1.0097632170267206,1.009763216924589,1.0097632170777813,1.020306736798484
2024-03-11,1.0084686522637087,1.0084686521802222,1.00846865229485,1.0270627094578966
2024-03-12,1.0022834022328582,1.0022834021700318,1.0022834022270366,1.0292202810247075
2024-03-13,0.970888137069517,0.970888137111313,0.9708881369797395,1.0242835429711088
2024-03-14,0.9333720828233908,0.9333720829027919,0.9333720826874056,1.013601643287951
2024-03-15,0.9262943624002395,0.9262943625039299,0.9262943622413384,1.0083015025417026
2024-03-18,0.9533266747750359,0.953326674873856,0.9533266746286737,1.0170516120087985
2024-03-19,0.9491031832931938,0.9491031833893214,0.9491031831399988,1.021882521249972
2024-03-20,0.9711637800191578,0.9711637801034236,0.9711637798844411,1.0322489846495346
2024-03-21,0.9720596368765129,0.9720596369522698,0.9720596367547664,1.0308312275798435
2024-03-22,0.9713919180220907,0.971391918091568,0.9713919179004847,1.028869326510234
2024-03-25,0.9636082626165378,0.9636082627108774,0.9636082624683333,1.0239535497756997
2024-03-26,0.9632743819660878,0.9632743820736672,0.9632743818063926,1.0224188832829402
2024-03-27,0.9928178161597425,0.9928178162449071,0.9928178160409884,1.0358464266003151
2024-03-28,0.9892097162750745,0.9892097163588888,0.989209716160524,1.0355146563603155
2024-04-01,0.9803005082220101,0.9803005083082053,0.9803005081011283,1.028834266489759
2024-04-02,0.9504162095611417,0.9504162096666806,0.9504162094183906,1.0126804810691314
2024-04-03,0.9634915393245593,0.9634915394033294,0.963491539218305,1.009516890502019
2024-04-04,0.9633965919404203,0.9633965920377027,0.9633965918290949,1.0029890377574977
2024-04-05,0.9339643606540005,0.9339643608106013,0.9339643604764029,0.9992680895213211
2024-04-08,0.9541583951455005,0.9541583952900714,0.9541583949847054,1.005387308095617
2024-04-09,0.9754367258687114,0.9754367259874359,0.9754367257429399,1.0118989235822746
2024-04-10,0.9640130021976865,0.9640130022973252,0.9640130020825941,0.999656948688882
2024-04-11,0.9807904818973024,0.9807904819805273,0.9807904817972014,1.0058511796280034
2024-04-12,0.9578662475552815,0.957866247617435,0.9578662474594561,0.9912792702977432
2024-04-15,0.925515152798587,0.9255151528909659,0.9255151526705288,0.9804382168095799
2024-04-16,0.9151122708488,0.9151122709374396,0.9151122707185455,0.976135097061039
2024-04-17,0.9134203930402487,0.9134203931193102,0.9134203929197033,0.9781025584591089
2024-04-18,0.8986425565305372,0.8986425566289828,0.898642556386301,0.9774843754418214
2024-04-19,0.871782931972895,0.8717829321356799,0.8717829317784371,0.9745533182500284
2024-04-22,0.8820372658886972,0.882037266034073,0.8820372657118636,0.985392622084842
2024-04-23,0.9006406944665089,0.9006406946011236,0.9006406943015998,0.9958504275944877
2024-04-24,0.9128403447665291,0.9128403449453367,0.9128403445561365,0.9990352225961553
2024-04-25,0.9332186697137344,0.9332186698867084,0.933218669508533,1.0021735617513128
2024-04-26,0.9489689928362974,0.9489689929877748,0.9489689926552266,1.0082623645297635
2024-04-29,0.9978303197786995,0.9978303199286133,0.9978303196020223,1.022576482921856
2024-04-30,0.9647095458254559,0.9647095459936362,0.9647095456230851,1.0103868907738505
2024-05-01,0.9444459959778034,0.9444459961789851,0.9444459957395531,1.0112001178839616
2024-05-02,0.9515591962846118,0.951559196483561,0.9515591960479353,1.014780089658503
2024-05-03,0.9788148830130661,0.9788148832016716,0.9788148827994867,1.0284786557752499
2024-05-06,0.9925224943516382,0.9925224945428827,0.9925224941362121,1.0369926166674934
2024-05-07,0.9764449352973419,0.9764449355178242,0.9764449350581864,1.0380626389444367
2024-05-08,0.9653458094931223,0.9653458097395019,0.9653458092272087,1.04132177003061
2024-05-09,0.9540595478749773,0.9540595481523538,0.9540595475814279,1.0437095077431697
2024-05-10,0.9488420164055056,0.9488420166566239,0.9488420161228192,1.0444396103390667
2024-05-13,0.9591216529799304,0.9591216532497953,0.9591216526880866,1.0506709373479375
2024-05-14,0.986297332762835,0.9862973330192152,0.9862973324956771,1.0593104310230494
2024-05-15,0.9850532848163583,0.9850532850668406,0.9850532845435568,1.067698699226395
2024-05-16,0.9892427707611781,0.9892427710167303,0.9892427704871398,1.071122169005293
2024-05-17,0.9828857655093208,0.9828857657862137,0.9828857652162266,1.066533477847426
2024-05-20,0.9771145976797806,0.9771145979417072,0.9771145973945701,1.0592010721194804
2024-05-21,0.9910564392304312,0.9910564395357169,0.9910564389067484,1.0673211612259428
2024-05-22,1.0057816307462846,1.0057816310095244,1.005781630479423,1.070840121180752
2024-05-23,0.9956314774072339,0.9956314776740359,0.9956314771291809,1.0600226240516426
2024-05-24,1.0292635077763905,1.0292635080206838,1.0292635075334848,1.0697280496667863
2024-05-27,1.0292635077905576,1.0292635080397152,1.0292635075426124,1.0730047408849943
2024-05-28,1.0438632036196598,1.043863203852164,1.043863203392385,1.0737973767799436
2024-05-29,1.0315745963454654,1.0315745965948866,1.0315745961008083,1.0611534298760643
2024-05-30,1.0440605700763768,1.044060570316451,1.0440605698506518,1.0676896463924364
2024-05-31,1.04109995936531,1.04109995961056,1.0410999591246646,1.0767853240559482
2024-06-03,1.0483544049979716,1.0483544052106661,1.0483544047771312,1.0803408035268574
2024-06-04,1.056106881720914,1.0561068819093817,1.0561068815204664,1.0853953205432199
2024-06-05,1.072095899095302,1.0720958992634941,1.0720958989165965,1.0895192972618417
2024-06-06,1.0736881372399463,1.0736881374126983,1.0736881370562024,1.0888828155334946
2024-06-07,1.0452656653848234,1.0452656656247783,1.0452656651312422,1.0797643288270542
2024-06-10,1.0581513747689404,1.058151374986952,1.0581513745518862,1.0795391699190358
2024-06-11,1.055773309742165,1.0557733099351316,1.0557733095462534,1.0778386117073915
2024-06-12,1.0798904563530667,1.0798904565041034,1.0798904561922378,1.0792724140972627
2024-06-13,1.0837338306108781,1.0837338307924818,1.0837338304126451,1.0853917990356745
2024-06-14,1.0661982222825779,1.0661982224774766,1.0661982220614856,1.0795055113258272
2024-06-17,1.0720959044380254,1.0720959046518685,1.0720959041953206,1.078047488941732
2024-06-18,1.0668560148458837,1.0668560150759312,1.0668560145871842,1.0772627318776504
2024-06-19,1.0668560148487032,1.0668560150797188,1.0668560145890007,1.0778963019459864
2024-06-20,1.0293229100546661,1.0293229103260582,1.0293229097374124,1.0732884460154808
2024-06-21,1.0256353023779512,1.025635302627723,1.0256353020718816,1.071113696302405
2024-06-24,1.0176449564887569,1.017644956774508,1.0176449561620062,1.0746566762719674
2024-06-25,1.0176273808992293,1.017627381196236,1.0176273805465903,1.070117016761674
2024-06-26,1.0364612965766096,1.0364612968710867,1.036461296226845,1.074720681236929
2024-06-27,1.0418462186527153,1.0418462189380262,1.0418462183192925,1.069808542125184
2024-06-28,1.0224997265010611,1.0224997268258502,1.0224997261275786,1.0615246242951621
2024-07-01,1.0302721178079903,1.030272118177,1.030272117396276,1.0627931884824737
2024-07-02,1.0526477852694252,1.0526477856837857,1.052647784819085,1.0716533669643418
2024-07-03,1.0950808120243276,1.095080812407106,1.095080811602152,1.0848966836486391
2024-07-04,1.0950808120251336,1.0950808124081888,1.0950808116026713,1.0850743817091146
2024-07-05,1.0925941802574852,1.0925941806543589,1.0925941798161098,1.0879201573274118
2024-07-08,1.1140276942690701,1.1140276946516297,1.1140276938553335,1.0904953583192514
2024-07-09,1.131776111346954,1.1317761117394691,1.13177611092743,1.0946602668095156
2024-07-10,1.1535022034049638,1.1535022037603955,1.1535022030150612,1.1060649717735387
2024-07-11,1.133438865901548,1.1334388662208144,1.1334388655561276,1.1028955894402694
2024-07-12,1.168895252360135,1.168895252661788,1.1688952520451967,1.1184738561121434
2024-07-15,1.152953091748955,1.1529530920870845,1.1529530913972392,1.1089639293060614
2024-07-16,1.1704586944268156,1.170458694756417,1.1704586940861226,1.1228215074259094
2024-07-17,1.1344453070061848,1.1344453073814467,1.134445306618308,1.1220857445447125
2024-07-18,1.129438084520326,1.129438084880306,1.1294380841336373,1.1146981574874373
2024-07-19,1.1006229502172846,1.100622950616742,1.1006229497944926,1.1092466842045021
2024-07-22,1.1267256899822022,1.1267256903575615,1.1267256895707936,1.117255162959433
2024-07-23,1.1094119812209438,1.1094119816321795,1.109411980784204,1.1076662819011658
2024-07-24,1.0970524437082323,1.0970524440966007,1.0970524433301923,1.1052350445525578
2024-07-25,1.1000831046202653,1.1000831050206963,1.100083104237767,1.10446719061039
2024-07-26,1.1063919993997673,1.1063919998263214,1.1063919989993172,1.1182798352625491
2024-07-29,1.1160886790334557,1.1160886794181006,1.1160886786469213,1.1219798754789077
2024-07-30,1.0806074315837868,1.0806074319833165,1.0806074311794474,1.1174229734467858
2024-07-31,1.1347511587048558,1.1347511590452424,1.1347511583511782,1.1358337972784873
2024-08-01,1.0862938817763952,1.086293882148725,1.0862938813820207,1.126294788034892
2024-08-02,1.0629545252518673,1.0629545255983275,1.0629545248569738,1.1249508987398056
2024-08-05,1.0250288231291913,1.0250288234815705,1.0250288227410305,1.086935191822753
2024-08-06,1.0304075082032622,1.030407508563233,1.030407507802447,1.0930244762466736
2024-08-07,1.0126203008447014,1.0126203012291333,1.0126203004319854,1.0918917976062343
2024-08-08,1.0520707891060475,1.052070789464115,1.0520707887227532,1.107292541710118
2024-08-09,1.0479428458096802,1.047942846198044,1.0479428454025244,1.106134188781618
2024-08-12,1.056503464256483,1.0565034646014149,1.056503463885709,1.102521103992316
2024-08-13,1.0958694658351698,1.095869466165362,1.095869465477546,1.1213768391268826
2024-08-14,1.085642541115241,1.0856425414531068,1.0856425407466415,1.1213450633423592
2024-08-15,1.1348330039745849,1.1348330042629453,1.1348330036548386,1.1400218648567693
2024-08-16,1.1420024720459847,1.1420024723274143,1.1420024717272075,1.1440362129896782
2024-08-19,1.1792994738259488,1.179299474029116,1.1792994735684872,1.1572521210096582
2024-08-20,1.162509818756818,1.1625098189958663,1.1625098184662992,1.15291600877305
2024-08-21,1.1786105728175038,1.1786105730188972,1.1786105725598754,1.157176991237315
2024-08-22,1.1391957473643302,1.1391957476014742,1.1391957470729273,1.1464310702718585
2024-08-23,1.186467981162027,1.1864679813654098,1.186467980912261,1.1627142778498312
2024-08-26,1.1683354050785908,1.1683354053194754,1.1683354047998828,1.161709975443358
2024-08-27,1.1654455421910945,1.1654455424260053,1.1654455419170764,1.1623661019891827
2024-08-28,1.1562291557820341,1.1562291560390185,1.1562291554975237,1.158120147037228
2024-08-29,1.1382972100157442,1.1382972103152853,1.1382972096946304,1.1591502469993868
2024-08-30,1.154263496170102,1.1542634964842367,1.154263495834625,1.1692017596857847
2024-09-02,1.1542634961705485,1.1542634964848364,1.1542634958349125,1.1693024081215937
2024-09-03,1.1046925094043003,1.1046925097799365,1.104692509006684,1.1517640755145977
2024-09-04,1.1181067036512915,1.1181067040163286,1.1181067032607284,1.156695750814612
2024-09-05,1.1332986048242768,1.1332986051672385,1.1332986044476663,1.1547560468284794
2024-09-06,1.0874069512821258,1.0874069516152114,1.0874069509066564,1.1373793010771427
2024-09-09,1.0873994252899324,1.0873994256606216,1.087399424865698,1.149779598915354
2024-09-10,1.1102100152650618,1.1102100155951125,1.1102100148697371,1.1548264172687652
